gene_symbol	ensembl_gene_id
WBP4	ENSG00000120688
PPP1R15B	ENSG00000158615
ZFAND6	ENSG00000086666
LOX	ENSG00000113083
ATP5J2	ENSG00000241468
MFSD11	ENSG00000092931
EXO1	ENSG00000174371
SMYD1	ENSG00000115593
FOXO1	ENSG00000150907
RPIA	ENSG00000153574
CATSPER3	ENSG00000152705
UTF1	ENSG00000171794
SLC30A9	ENSG00000014824
RAB6A	ENSG00000175582
NRBF2	ENSG00000148572
VDR	ENSG00000111424
CELSR1	ENSG00000075275
FBXL3	ENSG00000005812
POR	ENSG00000127948
SYCE1	ENSG00000171772
CTRB2	ENSG00000168928
TSPAN4	ENSG00000214063
CSDC2	ENSG00000172346
PPP2R2D	ENSG00000175470
CCDC86	ENSG00000110104
CBWD3	ENSG00000196873
SGK1	ENSG00000118515
DUSP2	ENSG00000158050
PROM2	ENSG00000155066
GATA3	ENSG00000107485
CCDC28A	ENSG00000024862
AGAP9	ENSG00000204172
ATP5O	ENSG00000241837
MRPS16	ENSG00000182180
UGDH	ENSG00000109814
PRKCDBP	ENSG00000170955
DHX32	ENSG00000089876
HLA-DOB	ENSG00000241106
NQO2	ENSG00000124588
CEP85	ENSG00000130695
INSC	ENSG00000188487
TMEM98	ENSG00000006042
NUDT13	ENSG00000166321
RPSA	ENSG00000168028
KNOP1	ENSG00000103550
GPR153	ENSG00000158292
PDXK	ENSG00000160209
LYRM2	ENSG00000083099
PPIE	ENSG00000084072
HEATR3	ENSG00000155393
FOXJ1	ENSG00000129654
TYSND1	ENSG00000156521
BAG6	ENSG00000204463
MEI1	ENSG00000167077
DBF4	ENSG00000006634
EPHX4	ENSG00000172031
TSPAN3	ENSG00000140391
ZNF3	ENSG00000166526
CPED1	ENSG00000106034
TNNT3	ENSG00000130595
PEX14	ENSG00000142655
SLC12A9	ENSG00000146828
TEX14	ENSG00000121101
LNX2	ENSG00000139517
NDUFA6	ENSG00000184983
LAMTOR2	ENSG00000116586
MRPS21	ENSG00000266472
SLC44A3	ENSG00000143036
ZNF391	ENSG00000124613
PPFIA1	ENSG00000131626
TTC34	ENSG00000215912
LDOC1L	ENSG00000188636
AGAP5	ENSG00000172650
CMBL	ENSG00000164237
HLA-DQA1	ENSG00000196735
PHKG2	ENSG00000156873
BRICD5	ENSG00000182685
CDC34	ENSG00000099804
PDE3A	ENSG00000172572
NPIPB6	ENSG00000198156
BATF3	ENSG00000123685
DTX4	ENSG00000110042
PIGM	ENSG00000143315
DNAAF1	ENSG00000154099
FOXD4L1	ENSG00000184492
LYSMD4	ENSG00000183060
CCDC134	ENSG00000100147
RAB1A	ENSG00000138069
ITPA	ENSG00000125877
TUBB6	ENSG00000176014
KNSTRN	ENSG00000128944
NSA2	ENSG00000164346
NDUFV3	ENSG00000160194
CYP4V2	ENSG00000145476
FAHD1	ENSG00000180185
FIS1	ENSG00000214253
FAIM2	ENSG00000135472
RTCB	ENSG00000100220
ASAP2	ENSG00000151693
NPHP4	ENSG00000131697
VEZF1	ENSG00000136451
GALNT18	ENSG00000110328
CRY1	ENSG00000008405
CDKN1A	ENSG00000124762
SLC39A1	ENSG00000143570
HLA-A	ENSG00000206503
ITIH5	ENSG00000123243
KIAA1324L	ENSG00000164659
LUM	ENSG00000139329
CLEC17A	ENSG00000187912
UBE2Q2	ENSG00000140367
GBP6	ENSG00000183347
GALNT7	ENSG00000109586
TCF7	ENSG00000081059
NIP7	ENSG00000132603
FLRT1	ENSG00000126500
DTNBP1	ENSG00000047579
CCDC102B	ENSG00000150636
MARS	ENSG00000166986
SULT2B1	ENSG00000088002
XAB2	ENSG00000076924
TAS1R3	ENSG00000169962
METTL2B	ENSG00000165055
CENPN	ENSG00000166451
TBC1D30	ENSG00000111490
EREG	ENSG00000124882
HOXA5	ENSG00000106004
SIDT2	ENSG00000149577
CEP192	ENSG00000101639
LRPAP1	ENSG00000163956
HP	ENSG00000257017
RAI1	ENSG00000108557
ORMDL3	ENSG00000172057
FZR1	ENSG00000105325
ADPRM	ENSG00000170222
RFT1	ENSG00000163933
PSMD13	ENSG00000185627
PPIF	ENSG00000108179
